Name,Address,Phone
Bodytalk Gym,"109-A, Garden Block, Garden Town, Lahore.",+92-42-35868680
Summit Life Style Gym,"183-Y, Street 11, Phase III, DHA, Lahore.",+92-322-8476565
"Face Line Salon, Studio & Gym","124, Near Jamia Masjid, Opp. Shadman Market, Shadman, Lahore.",+92-42-37422885
ABS Wellness Club,"79-Babar Block, New Garden Town, Lahore.",+92-42-35887001
Avari Hotels International,"87 Shahrah-e-Quaid-e-Azam, The Mall, Lahore.",+92-42-111282747
Depilex Beauty Clinic & Institute,"789-N, Poonch Road, Samanabad, Lahore.",+92-42-37561215
Gold Spa & Fitness Club,"Third Floor, Mall of Lahore [Park Lane Towers], 172 Tufail Road, Lahore-Cantt.",+92-42-111111980
Hanus Makeup Lounge,"249 Y Block, DHA, Lahore.",+92-42-35896631
Hospitality Inn Lahore,"25 Egerton Road, Lahore.",+92-42-36310077
Mall of Lahore - Park Lane Tower,"172-Tufail Road, Lahore-Cantt.",+92-800-00100
Maqi's Laser & Skin Care Salon,"14-Mozang Road, Lahore.",+92-321-5214239
Nishat Residencia,"75 FCC, Opp. F.C College, Gulberg II, Lahore.",+92-349-4564743
Pearl Continental Hotel - PC Hotel,"Shahrah-e-Quaid-e-Azam, The Mall, Lahore.",+92-42-111505505
Pearl Salon,"At The Pavilion, Pearl-Continental Hotel, The Mall, Lahore.",+92-42-36307750
Royal Palm Golf & Country Club,"52 Canal Bank Road, Mughalpura, Lahore.",+92-42-111602602
Shapes Health Studios,"50-E/1, Gulberg III , Lahore.",+92-42-111742737
Structure Health & Fitness,"THE RESIDENCY HOTEL:    39-A, Off Zafar Ali Road, Gulberg V, Lahore.",+92-42-35775491
Sukh Chan Wellness Club,"25-H , Gulberg II , Lahore , Pakistan",+92-42-35751453
The New Instant Slimming Clinic,"514-A, Faisal Town, Lahore, Pakistan",+92-42-35166546
The Nishat Hotel - A Part of St. James's Collection from London,"9-A, Mian Mehmood Ali Kasuri Road, Gulberg-III, Lahore.",+92-42-111000777
Apollo Fitness & Sports,"17 Lawrence Road, Lahore",+92-42-36313091
Farzana Zara Fantasies Beauty Salon,"60-C-3, Opp. Flatties Express Hotel, Ali Zeb Road, Block-C, Gulberg-III, Lahore.",+92-42-35764419
Hadayat Sons,"93-Ferozepur Road, Jan Arcade, Lahore.",+92-42-37588195
HKarimBuksh.com,"Plot No. 76,  Street 37, Sector Z, Phase 3, DHA, Lahore.",+92-344-4411000
I-Fitness,"Opp. Habib Bank Limited, Nila Gumbad, Bank Square, The Mall, Lahore.",+92-321-4184941
KK Sports & Fitness,"8 - A, Mian Road, Shahalam Market, Lahore, Pakistan.",+92-42-37644007
Lahore Country & Sports Club,"Khursheed Begum Road, Off 2 Km Narowal Road, Muridke, Lahore.",+92-42-37992211
Pak Surgical,"Bank Square, Nila Gumbad, Lahore.",+92-42-37356400
Physio Shop,"Shop No. 22,  Basement, Subhan Centre, Expo Centre Road, Block H-3, Phase 2, Johar Town, Lahore.",+92-345-1425124
Punjab Club,"3 Danepur Road, GOR-1, Lahore.",+92-42-36370560
Shezi Fitness & Sports,"1, Syed Mauj Darya Road, A.G. Office Chowk, Lahore.",+92-42-37315555
Sports De Adnan,"Near Pealo Maher 14 Km, Daska Road, Sialkot, Pakistan",+92-52-6526110
Sports Life,"Ghulam Rasool Building, 60- The Mall, Lahore, Pakistan",+92-42-36370718
Sunuba Spa & Rejuvenation Center,"90/A, Block B-1, M.M Alam Road, Adj. KFC, Gulberg II, Lahore.",+92-42-35785525
Tele Brands Pakistan,"First Floor, Defence Shopping Mall, Main Boulevard, Defence, Lahore.",+92-321-5553257
The Brands,"House No. 16, Sector E, Peco Road, Township, Lahore.",+92-300-4330706
Absolute Fitness Gym,"B-7, Basement, 2000 Plaza, I-8 Markaz, Islamabad.",+92-51-8447411
Cross-Fit Gym & Fitness Center,"Opp. Excise Office, Near MDA Chowk, Multan.",+92-303-6479544
FFC Kickboxing Gym,"Office No. 1, FFC Building, Opp. Street No. 25, Misrial Road, Baraf Khan Chowk, Rawalpindi.",+92-336-4704441
Fitness Edge Gym,"Hafizabad Road, Near PSO Petrol Pump, Fitness Edge Health & Training Centre, Gujranwala",+92-321-6629550
Get Smart Gym,"12-C, First Floor, Khadda Market, Stadium Lane 1, Phase V, DHA, Karachi.",+92-21-35849739
Lifestyle Gym,"28-C, 26th Street, Tauheed Commercial Area, Phase V, D.H.A, Karachi",+92-21-35824586
Nimra Khan Salon & Fitness Gym,"Near Rim Jhim Tower, Safora Chowk, Main University Road, Karachi.",+92-310-0707222
Robust Fitness Gym,"Basement Al-Babar Center, F-8 Markaz, Islamabad",+92-51-2855052
She Fitness Ladies Gym,"Building 67, Sector F Commercial, DHA-I, Near Clock Tower, Phase-VII, Bahria Expressway, Islamabad.",+92-300-8554505
Tanzila's Salon & Gym,"Shop No. 2, Plot No. 37/C, Lane-4, Shahbaz Commercial, Phse VI, DHA, Karachi.",+92-21-35841317
The Shape Up Gym,"B-34,Fars Complex, Block-13-A, Gulshan-e-Iqbal, Karachi.",+92-333-2104517
Tiger Gym,"Building 67, Sector F Commercial, DHA-I, Near Clock Tower, Phase-VII, Bahria Expressway, Islamabad.",+92-300-8554505
Bodionix Gym,"Basement 7-K, Al-Asad Plaza, F-10 Markaz, Islamabad.",+92-51-2299004
Fitness Zone The Gym,"Doctor's Plaza, G-9 Markaz, Karachi Company, Behind PSO Pump, Islamabad",+92-300-5802129
Friends Gym,"Madina Terrace, Plot No. 112, Mezzanine Floor, Muslim Commercial Bank, Shah Waliullah Road, Memon Society, Karachi, Pakistan",+92-300-2689425
Iron Fist Gym & Supplements,"Plot 2-C, 7th Lane, Bukhari Commercial, Phase 6, DHA, Karachi, Pakistan",+92-21-35347208
